"seriesid","date"
"00267bae-619f-5911-b8bf-7521d06a7f69","2020-08-28"
"002778b4-56a9-5070-abd7-8bdc91c17041","2020-05-26"
"002778b4-56a9-5070-abd7-8bdc91c17041","2020-06-26"
"002778b4-56a9-5070-abd7-8bdc91c17041","2020-07-27"
"002778b4-56a9-5070-abd7-8bdc91c17041","2020-08-26"
"0027ef62-0702-5fc9-9cbb-4523248234f1","2020-03-10"
"0027ef62-0702-5fc9-9cbb-4523248234f1","2020-04-07"
"0027ef62-0702-5fc9-9cbb-4523248234f1","2020-05-07"
"0027ef62-0702-5fc9-9cbb-4523248234f1","2020-06-08"
"0027ef62-0702-5fc9-9cbb-4523248234f1","2020-07-07"
"0027ef62-0702-5fc9-9cbb-4523248234f1","2020-08-07"
"0028e27f-8770-5b68-bc8f-a725c5b9cab5","2020-01-02"
"0028e27f-8770-5b68-bc8f-a725c5b9cab5","2020-02-03"
"0028e27f-8770-5b68-bc8f-a725c5b9cab5","2020-03-02"
"0028e27f-8770-5b68-bc8f-a725c5b9cab5","2020-04-02"
"0028e27f-8770-5b68-bc8f-a725c5b9cab5","2020-05-04"
"0028e27f-8770-5b68-bc8f-a725c5b9cab5","2020-06-02"
"0028e27f-8770-5b68-bc8f-a725c5b9cab5","2020-07-02"
"0028e27f-8770-5b68-bc8f-a725c5b9cab5","2020-08-03"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-03-18"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-04-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-05-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-06-17"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-07-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-08-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-09-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-10-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-11-18"
